"","m","nu","lambda","alpha","theoretical_var","envelope_1","envelope_3","envelope_4","envelope_5","diff_1","diff_3","diff_4","diff_5"
"39",9.06666666666667,-1.66666666666667,-5,0.1,0.000667844990246749,0.000585020524993992,0.000594729368672491,0.000585660883114266,0.000692003574902847,-8.2824465252757e-05,-7.3115621574258e-05,-8.2184107132483e-05,2.4158584656098e-05
"40",10,-1.66666666666667,-5,0.1,0.000593278463648834,0.000528376020298063,0.000537792396801602,0.000534565583182112,0.000593776332842182,-6.4902443350771e-05,-5.5486066847232e-05,-5.8712880466722e-05,4.97869193348066e-07
"41",1.6,-0.555555555555555,-5,0.1,0.0607167352537722,0.00465802706287543,0.00460593511526193,0.00458540641889167,0.030836089680516,-0.0560587081908968,-0.0561108001385103,-0.0561313288348805,-0.0298806455732562
"42",2.53333333333333,-0.555555555555555,-5,0.1,0.00499751001077302,0.00255362547672054,0.00247137431384288,0.00248251240880027,0.00485935434149892,-0.00244388453405248,-0.00252613569693014,-0.00251499760197275,-0.0001381556692741
"43",3.46666666666667,-0.555555555555555,-5,0.1,0.00257461423860874,0.001705461987928,0.00170706144327364,0.00171905546329863,0.00264098872012078,-0.00086915225068074,-0.0008675527953351,-0.00085555877531011,6.637448151204e-05
"44",4.4,-0.555555555555555,-5,0.1,0.00173564617793628,0.00128356554256159,0.00129758305824517,0.0012596834042848,0.00174732746722339,-0.00045208063537469,-0.00043806311969111,-0.00047596277365148,1.168128928711e-05
"45",5.33333333333333,-0.555555555555555,-5,0.1,0.00130970757224938,0.00102951836679242,0.00103736512523578,0.00102425447390715,0.00131032568139074,-0.00028018920545696,-0.0002723424470136,-0.00028545309834223,6.18109141359985e-07
"46",6.26666666666667,-0.555555555555555,-5,0.1,0.00105186900371967,0.000863514298209883,0.000872638664063329,0.000872142019182969,0.00104659645031777,-0.000188354705509787,-0.000179230339656341,-0.000179726984536701,-5.2725534019e-06
"47",7.2,-0.555555555555555,-5,0.1,0.000878953769233145,0.000747054980524533,0.000753606119574259,0.000746079984062905,0.000866612363032859,-0.000131898788708612,-0.000125347649658886,-0.00013287378517024,-1.2341406200286e-05
"48",8.13333333333333,-0.555555555555555,-5,0.1,0.000754911849257058,0.000655633190178018,0.00066744946263333,0.000650557352511758,0.00075588391971958,-9.92786590790401e-05,-8.74623866237281e-05,-0.0001043544967453,9.72070462521902e-07
"49",9.06666666666667,-0.555555555555555,-5,0.1,0.00066157651139795,0.000585584291984912,0.000591989285687421,0.000594660068930727,0.000662020518316816,-7.5992219413038e-05,-6.9587225710529e-05,-6.6916442467223e-05,4.44006918866031e-07
"50",10,-0.555555555555555,-5,0.1,0.000588795646287779,0.000529595276522696,0.000532706079766921,0.000523295976745894,0.000593829825413528,-5.92003697650829e-05,-5.60895665208579e-05,-6.54996695418849e-05,5.03417912574907e-06
"51",1.6,0.555555555555555,-5,0.1,0.0607167352537722,0.00468317534156485,0.00456202610107653,0.004870480800213,0.0471669311094049,-0.0560335599122073,-0.0561547091526957,-0.0558462544535592,-0.0135498041443673
"52",2.53333333333333,0.555555555555555,-5,0.1,0.00499751001077302,0.00251538022298649,0.00249451149662206,0.0024859843136562,0.00495393690194191,-0.00248212978778653,-0.00250299851415096,-0.00251152569711682,-4.35731088311098e-05
"53",3.46666666666667,0.555555555555555,-5,0.1,0.00257461423860874,0.00169226849350486,0.0017159022862205,0.00170780068607225,0.00255865004637357,-0.00088234574510388,-0.00085871195238824,-0.00086681355253649,-1.59641922351703e-05
"54",4.4,0.555555555555555,-5,0.1,0.00173564617793628,0.00128532985350493,0.00128308048578287,0.00127199068670634,0.00174049479798927,-0.00045031632443135,-0.00045256569215341,-0.00046365549122994,4.84862005298986e-06
