"","m","nu","lambda","alpha","theoretical_mean","envelope_1","envelope_3","envelope_4","envelope_5","diff_1","diff_3","diff_4","diff_5"
"13",3.46666666666667,-3.88888888888889,-5,0.1,-4.92117117117117,-4.94394339439914,-4.94408063343039,-4.94339216740445,-4.919587398478,-0.0227722232279701,-0.0229094622592205,-0.0222209962332798,0.00158377269317
"14",4.4,-3.88888888888889,-5,0.1,-4.94281045751634,-4.95576330630817,-4.95587844520663,-4.9560385812721,-4.94537522884171,-0.01295284879183,-0.0130679876902899,-0.0132281237557601,-0.00256477132537025
"15",5.33333333333333,-3.88888888888889,-5,0.1,-4.95512820512821,-4.96357932796473,-4.96344108425203,-4.96346740338748,-4.9607925877845,-0.0084511228365205,-0.00831287912382006,-0.00833919825927065,-0.0056643826562901
"16",6.26666666666667,-3.88888888888889,-5,0.1,-4.96308016877637,-4.968933258805,-4.96885441836935,-4.96911758196817,-4.96221297793675,-0.00585309002862999,-0.00577424959297979,-0.00603741319179996,0.000867190839620058
"17",7.2,-3.88888888888889,-5,0.1,-4.96863799283154,-4.97308390985876,-4.9729644304368,-4.97289260265872,-4.97066335746384,-0.00444591702721997,-0.0043264376052603,-0.00425460982718029,-0.00202536463230008
"18",8.13333333333333,-3.88888888888889,-5,0.1,-4.97274143302181,-4.97616838517351,-4.97622012679393,-4.97627822336449,-4.97204911458493,-0.00342695215170075,-0.00347869377212007,-0.00353679034268062,0.000692318436879447
"19",9.06666666666667,-3.88888888888889,-5,0.1,-4.97589531680441,-4.97851380867669,-4.97864812716363,-4.97867981918435,-4.97751852363971,-0.0026184918722798,-0.00275281035921981,-0.00278450237994043,-0.00162320683530037
"20",10,-3.88888888888889,-5,0.1,-4.97839506172839,-4.98057402102578,-4.9806114097018,-4.98017570776583,-4.9793059810457,-0.00217895929738976,-0.00221634797340986,-0.00178064603743966,-0.000910919317309578
"21",1.6,-2.77777777777778,-5,0.1,-4.76851851851852,-4.91255990418105,-4.91371445628055,-4.91397875385501,-4.77112005223327,-0.14404138566253,-0.14519593776203,-0.14546023533649,-0.00260153371475003
"22",2.53333333333333,-2.77777777777778,-5,0.1,-4.90942028985507,-4.94515401876255,-4.94529902111026,-4.94502654500027,-4.90971885491307,-0.0357337289074806,-0.03587873125519,-0.0356062551452005,-0.0002985650580003
"23",3.46666666666667,-2.77777777777778,-5,0.1,-4.94369369369369,-4.95974297490169,-4.9602207459823,-4.95986465497901,-4.94416386519751,-0.0160492812080006,-0.0165270522886098,-0.0161709612853205,-0.000470171503820005
"24",4.4,-2.77777777777778,-5,0.1,-4.95915032679739,-4.96835507736328,-4.96854401934779,-4.96890953417688,-4.95821986663195,-0.00920475056588987,-0.00939369255039946,-0.00975920737948943,0.000930460165440294
"25",5.33333333333333,-2.77777777777778,-5,0.1,-4.96794871794872,-4.97388709447071,-4.97388269644348,-4.97399240011463,-4.96849986659194,-0.00593837652199003,-0.00593397849476052,-0.00604368216591045,-0.000551148643220145
"26",6.26666666666667,-2.77777777777778,-5,0.1,-4.97362869198312,-4.9779095324781,-4.97784731501181,-4.97751764102769,-4.97358951773616,-0.0042808404949799,-0.00421862302868981,-0.00388894904456993,3.91742469600942e-05
"27",7.2,-2.77777777777778,-5,0.1,-4.97759856630824,-4.98068793969419,-4.98082166692915,-4.98081851050086,-4.97688760446613,-0.00308937338594983,-0.00322310062091002,-0.00321994419262062,0.000710961842109725
"28",8.13333333333333,-2.77777777777778,-5,0.1,-4.98052959501558,-4.98285641204478,-4.98306138434038,-4.98289501214465,-4.98070144667328,-0.0023268170291999,-0.00253178932480047,-0.00236541712907012,-0.000171851657700728
"29",9.06666666666667,-2.77777777777778,-5,0.1,-4.98278236914601,-4.98466705765828,-4.98486665515933,-4.98490662321945,-4.98257458238703,-0.00188468851226986,-0.00208428601331967,-0.00212425407343986,0.000207786758980255
"30",10,-2.77777777777778,-5,0.1,-4.98456790123457,-4.98616271173691,-4.98629290838729,-4.98621109097896,-4.98532314216297,-0.00159481050233978,-0.00172500715271973,-0.00164318974439048,-0.000755240928399736
"31",1.6,-1.66666666666667,-5,0.1,-4.86111111111111,-4.94736010002839,-4.9481667376172,-4.94777738595293,-4.86214907156852,-0.0862489889172799,-0.08705562650609,-0.0866662748418205,-0.00103796045740978
"32",2.53333333333333,-1.66666666666667,-5,0.1,-4.94565217391304,-4.96701341951939,-4.96726249760392,-4.96771565623286,-4.94607341971219,-0.0213612456063492,-0.0216103236908793,-0.0220634823198198,-0.000421245799149261
"33",3.46666666666667,-1.66666666666667,-5,0.1,-4.96621621621622,-4.97559843096206,-4.97613473118887,-4.9760793011083,-4.96653155690249,-0.00938221474583933,-0.00991851497265017,-0.00986308489208021,-0.000315340686269927
