"","m","nu","lambda","alpha","envelope_1","envelope_3","envelope_4","envelope_5"
"194",4.4,5,-3.88888888888889,0.1,0.22897,0.31176,0.16244,0.00173
"195",5.33333333333333,5,-3.88888888888889,0.1,0.21672,0.30843,0.16939,0.00145
"196",6.26666666666667,5,-3.88888888888889,0.1,0.20545,0.30044,0.17202,0.00123
"197",7.2,5,-3.88888888888889,0.1,0.19523,0.29045,0.17052,0.00113
"198",8.13333333333333,5,-3.88888888888889,0.1,0.18648,0.27957,0.17074,0.00109
"199",9.06666666666667,5,-3.88888888888889,0.1,0.17797,0.26901,0.1653,0.00109
"200",10,5,-3.88888888888889,0.1,0.17018,0.25985,0.16082,0.00088
"201",1.6,-5,-2.77777777777778,0.1,0.23844,0.17683,0.0357,0.01571
"202",2.53333333333333,-5,-2.77777777777778,0.1,0.24701,0.26102,0.09501,0.00491
"203",3.46666666666667,-5,-2.77777777777778,0.1,0.23981,0.29868,0.1406,0.00256
"204",4.4,-5,-2.77777777777778,0.1,0.22901,0.30778,0.16251,0.0017
"205",5.33333333333333,-5,-2.77777777777778,0.1,0.21708,0.30595,0.17066,0.00139
"206",6.26666666666667,-5,-2.77777777777778,0.1,0.206,0.29858,0.17424,0.00117
"207",7.2,-5,-2.77777777777778,0.1,0.19607,0.28831,0.17234,0.00103
"208",8.13333333333333,-5,-2.77777777777778,0.1,0.18586,0.2782,0.16993,0.00096
"209",9.06666666666667,-5,-2.77777777777778,0.1,0.17741,0.26897,0.16451,8e-04
"210",10,-5,-2.77777777777778,0.1,0.17057,0.25957,0.1619,0.00082
"211",1.6,-3.88888888888889,-2.77777777777778,0.1,0.27807,0.24648,0.06265,0.02756
"212",2.53333333333333,-3.88888888888889,-2.77777777777778,0.1,0.27347,0.32712,0.13933,0.01115
"213",3.46666666666667,-3.88888888888889,-2.77777777777778,0.1,0.25829,0.34522,0.17726,0.00751
"214",4.4,-3.88888888888889,-2.77777777777778,0.1,0.24028,0.34122,0.19413,0.00612
"215",5.33333333333333,-3.88888888888889,-2.77777777777778,0.1,0.2246,0.32953,0.19248,0.00515
"216",6.26666666666667,-3.88888888888889,-2.77777777777778,0.1,0.21085,0.31624,0.19022,0.00454
"217",7.2,-3.88888888888889,-2.77777777777778,0.1,0.19867,0.30273,0.18359,0.00384
"218",8.13333333333333,-3.88888888888889,-2.77777777777778,0.1,0.18857,0.2889,0.17789,0.00389
"219",9.06666666666667,-3.88888888888889,-2.77777777777778,0.1,0.17995,0.27707,0.17434,0.00361
"220",10,-3.88888888888889,-2.77777777777778,0.1,0.172,0.26633,0.16576,0.00351
"221",1.6,-2.77777777777778,-2.77777777777778,0.1,0.3252,0.35347,0.11683,0.05246
"222",2.53333333333333,-2.77777777777778,-2.77777777777778,0.1,0.29965,0.40257,0.20223,0.03076
"223",3.46666666666667,-2.77777777777778,-2.77777777777778,0.1,0.27221,0.39322,0.22338,0.02411
"224",4.4,-2.77777777777778,-2.77777777777778,0.1,0.24905,0.373,0.22082,0.0208
"225",5.33333333333333,-2.77777777777778,-2.77777777777778,0.1,0.22997,0.35187,0.21584,0.01928
